run_id,scenario_id,site,decision_type,variant,workflow,exp1_seed,world_model_file,world_model_sha256,operator_id,operator_assignment_ready,input_status,run_status,output_geometry,output_parameter_table,output_need_disposition,output_constraint_checklist,output_process_log,rhino_export_record,outcome_A_green,outcome_E_equity,outcome_C_comfort,outcome_P_ret,outcome_I_impl,failure_or_exclusion_code
EXP1-SUZ-GE-B-EXISTING,SUZ-GE-B,Suzhou,GE,B,EXISTING,110101,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-SUZ-GE-B-CONVENTIONAL,SUZ-GE-B,Suzhou,GE,B,CONVENTIONAL,110101,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-GE-B-DIGITAL,SUZ-GE-B,Suzhou,GE,B,DIGITAL,110101,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-GE-B-POLIS,SUZ-GE-B,Suzhou,GE,B,POLIS,110101,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-GE-S-EXISTING,SUZ-GE-S,Suzhou,GE,S,EXISTING,110102,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-SUZ-GE-S-CONVENTIONAL,SUZ-GE-S,Suzhou,GE,S,CONVENTIONAL,110102,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-GE-S-DIGITAL,SUZ-GE-S,Suzhou,GE,S,DIGITAL,110102,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-GE-S-POLIS,SUZ-GE-S,Suzhou,GE,S,POLIS,110102,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-AR-B-EXISTING,SUZ-AR-B,Suzhou,AR,B,EXISTING,110201,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-SUZ-AR-B-CONVENTIONAL,SUZ-AR-B,Suzhou,AR,B,CONVENTIONAL,110201,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-AR-B-DIGITAL,SUZ-AR-B,Suzhou,AR,B,DIGITAL,110201,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-AR-B-POLIS,SUZ-AR-B,Suzhou,AR,B,POLIS,110201,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-AR-S-EXISTING,SUZ-AR-S,Suzhou,AR,S,EXISTING,110202,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
