feature_id,feature_type,parameter,central,low,high,unit,status,method
SUZ-TREE-PROXY-01,tree,crown_radius_m,2.296,1.722,2.871,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-01,tree,height_m,6.889,3.445,11.482,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-02,tree,crown_radius_m,1.786,1.34,2.233,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-02,tree,height_m,5.358,2.679,8.931,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-03,tree,crown_radius_m,2.424,1.818,3.03,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-03,tree,height_m,7.272,3.636,12.12,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-04,tree,crown_radius_m,2.169,1.627,2.711,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-04,tree,height_m,6.507,3.253,10.844,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-05,tree,crown_radius_m,2.041,1.531,2.552,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-05,tree,height_m,6.124,3.062,10.206,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-06,tree,crown_radius_m,2.296,1.722,2.871,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-06,tree,height_m,6.889,3.445,11.482,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-07,tree,crown_radius_m,1.914,1.435,2.392,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-07,tree,height_m,5.741,2.871,9.569,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-08,tree,crown_radius_m,2.041,1.531,2.552,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-08,tree,height_m,6.124,3.062,10.206,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-09,tree,crown_radius_m,1.659,1.244,2.073,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-09,tree,height_m,4.976,2.488,8.293,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-10,tree,crown_radius_m,2.169,1.627,2.711,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-10,tree,height_m,6.507,3.253,10.844,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-11,tree,crown_radius_m,2.552,1.914,3.19,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-11,tree,height_m,7.655,3.827,12.758,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-12,tree,crown_radius_m,2.041,1.531,2.552,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-TREE-PROXY-12,tree,height_m,6.124,3.062,10.206,m,not_measured,crown_diameter_sensitivity_heuristic_no_species_or_lidar
SUZ-PATH-PROXY-01,path,clear_width_m,1.79,1.28,2.3,m,not_measured,scenario_proxy_not_resolved_by_30m_dem_or_imagery
SUZ-PATH-PROXY-01,path,running_slope,0.02,0.0,0.05,fraction,not_measured,scenario_proxy_not_resolved_by_30m_dem_or_imagery
SUZ-PATH-PROXY-01,path,cross_slope,0.015,0.0,0.04,fraction,not_measured,scenario_proxy_not_resolved_by_30m_dem_or_imagery
SUZ-TURN-PROXY-01,turning_space,clear_diameter_m,4.0,1.5,8.0,m,not_measured,image_open_area_proxy_not_measured
SUZ-ACTIVITY-PROXY-01,activity_zone,area_m2,451.353,338.515,564.191,m2,not_measured,image_open_ground_proxy_not_measured
